	id_l	id_r	id_l count	l_org_name	l_city	l_state	l_postal_code	l_domain	l_clean_phone	r_org_name	r_city	r_state	r_postal_code	r_domain	r_clean_phone	jaro_score	fuzz_partial_score	fuzz_sort_score	fuzz_set_score	uniq	state_match	zip_match	domain_match	phone_match	overall_name_score	composite_match_score	is_match
3595896	100800	46233	10	Pittsburgh Supercomputing Center	Pittsburgh	pa	15213	psc.edu	4122684960	Pittsburgh Supercomputing Center	Pittsburgh	pa	15213	psc.edu	4122684960	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4244989	100804	46962	9	Precision Castparts Corp	Portland	or	97239	precast.com	5039464800	Precision Castparts Corp	Portland	or	97239	precast.com	5039464800	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4469574	100805	46967	15	ProVia	Sugarcreek	oh	44681	provia.com	3308524711	ProVia	Sugarcreek	oh	44681	provia.com	3308524711	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4469974	100806	47194	11	Pollock Paper Distributors	Grand Prairie	tx	75050	pollockpaper.com	9722632126	Pollock Paper Distributors	Grand Prairie	tx	75050	pollockpaper.com	9722632126	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4470236	100807	47242	8	Precision Pipeline	Eau Claire	wi	54703	precisionpipelinellc.com	7158744510	Precision Pipeline	Eau Claire	wi	54703	precisionpipelinellc.com	7158744510	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4472782	100811	48522	12	Premier Event Resources	Cave Creek	az	85331	perteam.com	8777371002	Premier Event Resources	Cave Creek	az	85331	perteam.com	8777371002	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4472812	100813	47699	10	Professional Bull Riding	Pueblo	co	81003	pbr.com	7192422800	Professional Bull Riding	Pueblo	co	81003	pbr.com	7192422800	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4243784	100816	45192	10	Rose City Futsal	Portland	or	97213	rosecityfutsal.com	5037342382	Rose City Futsal	Portland	or	97213	rosecityfutsal.com	5037342382	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4478101	100818	45436	12	"Rohde & Schwarz, Inc."	Columbia	md	21046	rohde-schwarz.com	4109107800	"Rohde & Schwarz, Inc."	Columbia	md	21046	rohde-schwarz.com	4109107800	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4480546	100819	45502	12	Relypsa	Redwood City	ca	94063	relypsa.com	6504219500	Relypsa	Redwood City	ca	94063	relypsa.com	6504219500	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4480663	100820	45598	10	Reaching Out MBA Inc.	Los Angeles	ca	90051-6681	reachingoutmba.org	4242098882	Reaching Out MBA Inc.	Los Angeles	ca	90051	reachingoutmba.org	4242098882	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4480812	100821	45744	12	Radius Events Company	Madeira Beach	fl	33708	radiusevents.com	7274607799	Radius Events Company	Madeira Beach	fl	33708	radiusevents.com	7274607799	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4480817	100823	45828	9	Refuge Calvary Chapel	Huntingtone Beach	ca	92647	refugefamily.com	7148919495	Refuge Calvary Chapel	Huntingtone Beach	ca	92647	refugefamily.com	7148919495	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3699986	100824	46046	11	Pure Life Ministries	Dry Ridge	ky	41035	purelifeministries.org	8598244444	Pure Life Ministries	Dry Ridge	ky	41035	purelifeministries.org	8598244444	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4472012	100810	47544	8	President's Round Table	Columbia	md	21045	presidentsroundtable.net	4104807130	President''s Round Table	Columbia	md	21045	presidentsroundtable.net	4104807130	0.991666667	0.96	1	1	1	1	1	1	1	4.46375	10.46375	1
3983548	100762	47687	9	Oregon-Idaho United Methodist Church	Portland	or	97201	umoi.org	5032267931	Oregon-Idaho Annual Conference of United Methodist Church	Portland	or	97201	umoi.org	5032267931	0.870760234	0.78	0.77	1	0.821744093	1	1	1	1	3.798186316	9.798186316	1
3333692	100749	36519	13	Oxford House World Services	Silver Spring	md	20910	oxfordhouse.org	3015872916	"Oxford House, Inc."	Silver Spring	md	20910	oxfordhouse.org	3015872916	0.859259259	0.72	0.56	0.86	0.920664429	1	1	1	1	3.630441088	9.630441088	1
4455062	100759	47112	12	Ormco	Orange	ca	92867	ormco.com	7145167400	ORMCO	Orange	ca	92867	ormco.com	7145167400	0.466666667	0.2	1	1	1	1	1	1	1	3.5	9.5	1
4455905	100771	45471	5	Pinnacle Foods Inc.	Mountain Lakes	nj	7054	pinnaclefoods.com	9735416620	Pinnacle Foods Inc.	Parsippany	nj	7054	pinnaclefoods.com	9735416620	1	1	1	1	1	1	0	1	1	4.5	9.5	1
4456914	100782	46908	7	Peak Sports Management	Frisco	tx	75034	peaksportsmgmt.com	5015482704	Peak Sports Management	McKinney	tx	75069	peaksportsmgmt.com	5015482704	1	1	1	1	1	1	0	1	1	4.5	9.5	1
4459776	100798	46005	13	PrismHR	Hopkinton	ma	1748	prismhr.com	5087477261	PrismHR	Hopkinton	ma	1748	prismhr.com	5087477261	1	1	1	1	1	1	0	1	1	4.5	9.5	1
4469083	100802	46649	8	Police Unity Tour	East Hanover	nj	7936	policeunitytour.com	9734430030	Police Unity Tour	E. Hanover	nj	7936	policeunitytour.com	9734430030	1	1	1	1	1	1	0	1	1	4.5	9.5	1
4470347	100808	47336	10	"Porchlight Productions, LLC"	Glen Rock	nj	7452	porchlightproductions.org	2018573520	"Porchlight Productions, LLC"	Glen Rock	nj	7452	porchlightproductions.org	2018573520	1	1	1	1	1	1	0	1	1	4.5	9.5	1
4173437	1006	7492	11	Michigan State University	Washington	dc	20003	msu.edu	5173551855	Michigan State University	E. Lansing	mi	48824-1046	msu.edu	5173551855	1	1	1	1	1	0	0	1	1	4.5	8.5	1
4454103	100750	46044	8	Origami Owl	Chandler	az	85226	origamiowl.com		Origami Owl	Chandler	az	85226	origamiowl.com	4803866900	1	1	1	1	1	1	1	1	0	4.5	8.5	1
4454940	100757	46858	14	Orienteering USA	Arlington	va	22202	orienteeringusa.org	2154829479	Orienteering USA	Philadelphia	pa	19128	orienteeringusa.org	2154829479	1	1	1	1	1	0	0	1	1	4.5	8.5	1
4455005	100758	46979	9	Ohio Bursars Association	Novelty	oh	44072	ohiobursars.org		Ohio Bursars Association	Novelty	oh	44072	ohiobursars.org		1	1	1	1	1	1	1	1	0	4.5	8.5	1
4451792	100760	47460	8	Oregon Moose Association	Bend	or	97701-5427	oregonmooseassociation.net		Oregon Moose Association	Bend	or	97701-5427	oregonmooseassociation.net	123456789	1	1	1	1	1	1	1	1	0	4.5	8.5	1
4076139	100768	46142	9	PEO Sisterhood Mississippi	Waveland	ms	39576	peomississippi.org		PEO Sisterhood Mississippi	Waveland	ms	39576	peomississippi.org	9135936259	1	1	1	1	1	1	1	1	0	4.5	8.5	1
4455880	100770	45407	11	PayPal Mobile	San Jose	ca	95131	paypal.com		PayPal Mobile	San Jose	ca	95131	paypal.com	4089676814	1	1	1	1	1	1	1	1	0	4.5	8.5	1
4456427	100776	46239	11	Parkinson Study Group	Rochester	ny	14642	parkinson-study-group.org		Parkinson Study Group	Rochester	ny	14642	parkinson-study-group.org		1	1	1	1	1	1	1	1	0	4.5	8.5	1
4456464	100778	46376	5	Personify	Austin	tx	78730	tmaresources.com	5129824400	Personify	Austin	tx	78730	personifycorp.com	5129824400	1	1	1	1	1	1	1	0	1	4.5	8.5	1
4457002	100784	47246	6	Penn State Wrestling Club	State College	pa	16804	pennstatewrestlingclub.org		Penn State Wrestling Club	State College	pa	16804	pennstatewrestlingclub.org	8148670463	1	1	1	1	1	1	1	1	0	4.5	8.5	1
4457803	100788	47877	6	Pilot Flying J	Knoxville	tn	37909	pilotflyingj.com		Pilot Flying J	Knoxville	tn	37909	pilotflyingj.com	8653302532	1	1	1	1	1	1	1	1	0	4.5	8.5	1
3984638	100790	48167	8	PCM Network	El Segundo	ca	90245	pcm.com		PCM Network	El Segundo	ca	90245	pcm.com	3103545600	1	1	1	1	1	1	1	1	0	4.5	8.5	1
4459712	100795	45550	5	Professional Datasolutions Inc.	Temple	tx	76504	pdisoftware.com	2547717100	Professional Datasolutions Inc.	Temple	tx	76504	pdisoftware.com	2544107600	1	1	1	1	1	1	1	1	0	4.5	8.5	1
3945813	100801	46421	8	Prayer Deliverance Fellowship International	Kentwood	mi	49508	prayerdeliverancefellows.org	6162649473	Prayer Deliverance Fellowship International	Grand Rapids	mi	49508	prayerdeliverancefellowship.org	6162649473	1	1	1	1	1	1	1	0	1	4.5	8.5	1
4469331	100803	46651	5	Progressive Congress	Washington	dc	20036	None	8024558231	Progressive Congress	Washington	dc	20036	progressivecongress.org	8024558231	1	1	1	1	1	1	1	0	1	4.5	8.5	1
4472956	100814	47862	13	Rocky Mountain National Association of Theatre Owners	Polson	mt	59860	WWW.RMNATO.COM	5099933583	Rocky Mountain National Association of Theatre Owners	Polson	mt	59860	rmnato.com	5099933583	1	1	1	1	1	1	1	0	1	4.5	8.5	1
4474089	100817	45384	10	"Qiagen, Inc."	Germantown	md	20874-1415	qiagen.com		"Qiagen, Inc."	Germantown	md	20874-1415	qiagen.com	8003627737	1	1	1	1	1	1	1	1	0	4.5	8.5	1
3212651	100822	45817	10	Region VI Pretreatment Association	North Little Rock	ar	72190	rvipa.org		Region VI Pretreatment Association	North Little Rock	ar	72190	rvipa.org	9403498610	1	1	1	1	1	1	1	1	0	4.5	8.5	1
4458949	100791	17926	6	Public Agency Risk Management Association	Sacramento	ca	95814	parma.com	8444672762	Public Agency Risk Managers Association	Sacramento	ca	95814	parma.com	9164443568	0.937798962	0.9	0.93	0.93	0.836129306	1	1	1	0	4.027543181	8.027543181	1
4457611	100786	31439	7	Patient Centered Outcomes Research Inst	Washington	dc	20036	pcori.org	2028277700	Patient-Centered Outcomes Research Institute	Washington	dc	20036	pcori.org	2008277700	0.899178015	0.97	0.94	0.94	0.777420055	1	1	1	0	3.978013594	7.978013594	1
4610037	100983	47283	7	Usssa	Melbourne	fl	32940	usssa.com	8007413014	United States Specialty Sports Association - USSSA	Kissimmee	fl	34744	usssa.com	8007413014	0.442222222	0.6	0.19	1	0.828866684	1	0	1	1	2.917466693	7.917466693	1
1963606	100034	47109	8	HelmsBriscoe - CO	Scottsdale	az	85255	helmsbriscoe.com	4807181111	HelmsBriscoe	Scottsdale	az	85255	helmsbriscoe.com	4807182358	0.941176471	1	0.89	1	0.682490997	1	1	1	0	3.897118849	7.897118849	1
1964727	100034	48581	8	HelmsBriscoe - CO	Scottsdale	az	85255	helmsbriscoe.com	4807181111	HelmsBriscoe	Scottsdale	az	85255	helmsbriscoe.com	3216899579	0.941176471	1	0.89	1	0.682490997	1	1	1	0	3.897118849	7.897118849	1
1959715	100034	35976	8	HelmsBriscoe - CO	Scottsdale	az	85255	helmsbriscoe.com	4807181111	HelmsBriscoe	Scottsdale	az	85255-	helmsbriscoe.com		0.941176471	1	0.89	1	0.682490997	1	1	1	0	3.897118849	7.897118849	1
1958978	100034	33929	8	HelmsBriscoe - CO	Scottsdale	az	85255	helmsbriscoe.com	4807181111	HelmsBriscoe	Scottsdale	az	85255	helmsbriscoe.com	4087181111	0.941176471	1	0.89	1	0.682490997	1	1	1	0	3.897118849	7.897118849	1
4017180	101071	47463	9	"Volvo Trucks North America, Inc."	Greensboro	nc	27402-6115	volvotrucks.us	3363932000	"Volvo Truck North America, Inc."	Greensboro	nc	27402-6115	volvotrucks.com	3363932000	0.99375	0.97	0.98	0.98	0.60724153	1	1	0	1	3.853674795	7.853674795	1
4017154	101101	46701	9	"Volvo Truck North America, Inc."	Greensboro	nc	27402-6115	volvotrucks.com	3363932000	"Volvo Trucks North America, Inc."	Greensboro	nc	27402-6115	volvotrucks.us	3363932000	0.99375	0.97	0.98	0.98	0.60724153	1	1	0	1	3.853674795	7.853674795	1
3854699	100447	47354	4	Kellen - KC	Atlanta	ga	30339	kellencompany.com	4042523663	The Kellen Company	Atlanta	ga	30342	kellencompany.com	4042523663	0.661616162	0.73	0.59	0.8	0.510159857	1	0	1	1	2.851451907	7.851451907	1
3993920	100523	37115	7	Information Technology (IT) Industry and Association (CompTIA)	Downers Grove	il	60515	comptia.org	6306788300	TechAmerica (fka Technology Association of America)	Downers Grove	il	60515	comptia.org	6306788300	0.635519551	0.53	0.58	0.62	0.045787345	1	1	1	1	1.842820681	7.842820681	1
4191079	100611	40866	11	Maryland Tourism Coalition	Crownsville	md	21032	mdtourism.com	4435631315	Maryland Tourism Council	Crownsville	md	21032-0298	mtc.mdtourism.org	4435631315	0.943473193	0.83	0.8	0.8	0.873032833	1	1	0	1	3.839654145	7.839654145	1
4248526	100636	20167	9	National Association of Qualified Developmental Disability Professionals	New Lenox	il	60451	qddp.org	8153207302	National Association of Qualified Intellectual Disability Professionals	New Lenox	il	60451	qddp.org	8153207301	0.941976099	0.9	0.81	0.91	0.774930735	1	1	1	0	3.833878177	7.833878177	1
3135375	100180	27455	8	Funeral Directors and Morticians Association of NC	Albermarle	nc	28002	fdmanc.org		Funeral Directors and Morticians of North Carolina	Albemarle	nc	28002	fdmanc.org	7049820347	0.942222222	0.76	0.84	0.84	0.854013349	1	1	1	0	3.81768669	7.81768669	1
2997692	100144	45896	8	James Hardie	Chicago	il	60604	jameshardie.com		James Hardie Building Products Incorporated	Chicago	il	60604	jameshardie.com		0.855813953	1	0.44	1	0.877133778	1	1	1	0	3.787561132	7.787561132	1
1969893	100035	47403	8	Direct Travel	Centennial	co	80111	dt.com	3038671641	Direct Travel Meetings & Events	Centennial	co	80111	dt.com	4103631300	0.883870968	1	0.62	1	0.765537743	1	1	1	0	3.776209841	7.776209841	1
1969830	100437	46915	7	Direct Travel Meetings & Events	Centennial	co	80111	dt.com		Direct Travel	Centennial	co	80111	dt.com	3038671641	0.883870968	1	0.62	1	0.765537743	1	1	1	0	3.776209841	7.776209841	1
1235344	100225	19350	9	Democratic Party of Wisconsin	Madison	wi	53703	isdems.org	6082602409	Democratic Party of WI	Madison	wi	53703	isdems.org	6082555172	0.935736677	0.95	0.86	0.93	0.675510073	1	1	1	0	3.770067617	7.770067617	1
1546966	100743	32500	8	Nortwest GIS Users Conference	Boise	id	83707	nwgis.org		Northwest GIS Users Conference	BOise	id	83707	nwgis.org	2086315091	0.993333333	0.97	0.98	0.98	0.549242483	1	1	1	0	3.766363724	7.766363724	1
2403307	100601	25645	20	KY Division of Family Resources and Youth Services	Frankfort	ky	40621	chfs.ky.gov	5025644986	Kentucky Division of Family Resources and Youth Services	Frankfort	ky	40621	ky.gov	5025644986	0.815683673	0.96	0.94	0.97	0.662036203	1	1	0	1	3.75731706	7.75731706	1
3257376	100218	48703	7	AMAG Technology	Burlington	ma	1803	amag.com	3105182380	"AMAG Technology, a G4S Company"	Torrance	ca	90501	amag.com	3105182380	0.9	1	0.68	1	0.703016735	0	0	1	1	3.739525103	7.739525103	1
3912392	100464	48677	5	"etc group, inc."	Arlington	tx	76011	etconline.net		ETC Group	Arlington	tx	76011	etconline.net	8174620100	0.62962963	0.56	0.82	1	0.987133783	1	1	1	0	3.737922897	7.737922897	1
2612422	100132	31024	6	"F+W, A Content & eCommerce Company"	New York	ny	10001	fwcommunity.com	2124471400	F and W Media	New York	ny	10001	fwcommunity.com	2124471400	0.486209869	0.31	0.36	0.41	0.352467946	1	1	1	1	1.703359321	7.703359321	1
4390074	100711	26277	8	Network for Change and Continuous Innovation	West Hartford	ct	6117	ncci-cu.org	8605867567	National Consortium for Continuous Improvement in Higher Education	West Hartford	ct	6002	ncci-cu.org	8605867567	0.655236576	0.55	0.51	0.6	0.639052185	1	0	1	1	2.695005709	7.695005709	1
4010304	100539	49206	5	ConferenceDirect- KY	West Hollywood	ca	90069	conferencedirect.com	3236483246	ConferenceDirect	Los Angeles	ca	90069	None	3236483246	0.96	1	0.91	1	0.521896407	1	1	0	1	3.68534461	7.68534461	1
4008830	100539	36544	6	ConferenceDirect- KY	West Hollywood	ca	90069	conferencedirect.com	3236483246	ConferenceDirect	Los Angeles	ca	90069	conferencedirect.com	3236553848	0.96	1	0.91	1	0.521896407	1	1	1	0	3.68534461	7.68534461	1
4007196	100539	31088	6	ConferenceDirect- KY	West Hollywood	ca	90069	conferencedirect.com	3236483246	ConferenceDirect	Los Angeles	ca	90069	conferencedirect.com	3236553848	0.96	1	0.91	1	0.521896407	1	1	1	0	3.68534461	7.68534461	1
4008820	100539	36339	7	ConferenceDirect- KY	West Hollywood	ca	90069	conferencedirect.com	3236483246	ConferenceDirect	West Hollywood	ca	90069	conferencedirect.com	3236553848	0.96	1	0.91	1	0.521896407	1	1	1	0	3.68534461	7.68534461	1
4006721	100539	28087	7	ConferenceDirect- KY	West Hollywood	ca	90069	conferencedirect.com	3236483246	ConferenceDirect	West Hollywood	ca	90069	conferencedirect.com	3236553848	0.96	1	0.91	1	0.521896407	1	1	1	0	3.68534461	7.68534461	1
4010521	100539	50086	6	ConferenceDirect- KY	West Hollywood	ca	90069	conferencedirect.com	3236483246	ConferenceDirect	Los Angeles	ca	90069	conferencedirect.com	3108597044	0.96	1	0.91	1	0.521896407	1	1	1	0	3.68534461	7.68534461	1
2139347	100868	46134	9	SmithBucklin & Associates - DC	Washington	dc	20036	smithbucklin.com		SmithBucklin Corporation - DC	Washington	dc	20036-3309	smithbucklin.com	2023671171	0.871118077	0.69	0.72	0.73	0.942932329	1	1	1	0	3.672737051	7.672737051	1
3870281	100995	13472	8	USA Synchro	Colorado Springs	co	80909	teamusa.org	7198662219	United States Synchronized Swimming	Colorado Springs	co	80909	teamusa.org	7198662219	0.698268398	0.73	0.39	0.39	0	1	1	1	1	1.656201299	7.656201299	1
3954314	100483	47904	8	BI Worldwide	Minneapolis	mn	55439	biworldwide.com		Bi Worldwide HQ - USA	Minneapolis	mn	55439	biworldwide.com	9528354800	0.692279942	0.92	0.77	1	0.7229214	1	1	1	0	3.621092057	7.621092057	1
3642931	100510	47349	11	Caliber Home Loans	Oklahoma City	ok	73137-0415	caliberhomeloans.com		CALIBER HOME LOANS	Oklahoma City	ok	73137-0415	caliberhomeloans.com	8552021124	0.518518519	0.28	1	1	1	1	1	1	0	3.598888889	7.598888889	1
2476707	100508	47980	5	BCD Meetings & Incentives	Chicago	il	60661	bcdme.com	3123962000	BCD Meetings & Events (US)	Chicago	il	60661	bcdme.com	3127052281	0.903846154	0.76	0.76	0.76	0.789638352	1	1	1	0	3.572342143	7.572342143	1
2997643	100144	45760	8	James Hardie	Chicago	il	60604	jameshardie.com		JAMES HARDIE	Chicago	il	60604	jameshardie.com		0.5	0.25	1	1	1	1	1	1	0	3.5625	7.5625	1
4586402	100910	45523	5	Tbex	Lake Elsinore	ca	92587	tbexcon.com		TBEX	Lake Elsinore	ca	92587	tbexcon.com	6198357442	0.5	0.25	1	1	1	1	1	1	0	3.5625	7.5625	1
4523111	100867	19423	6	Society for Internal Affairs	Arlington	va	22209	siaed.org	7039465683	Society for International Affairs	Arlington	va	22209	WWW.SIAED.ORG	7039465683	0.948268398	0.82	0.92	0.92	0.559317565	1	1	0	1	3.545177647	7.545177647	1
2612607	100133	47881	6	Bdo Usa	Chicago	il	60611	bdo.com	3128569100	BDO USA LLP	Chicago	il	60611	bdo.com	3125400350	0.567099567	0.43	0.78	1	0.948772695	1	1	1	0	3.505983718	7.505983718	1
2612599	100480	45661	6	Bdo Usa Llp	Chicago	il	60611	bdo.com	3125400350	BDO USA	Chicago	il	60611	bdo.com	3128569100	0.567099567	0.43	0.78	1	0.948772695	1	1	1	0	3.505983718	7.505983718	1
2390471	100085	45251	10	Blue Knights International Law Enforcement Motorcycle Clubs	Bangor	me	4401	blueknights.org		Blue Knights International Law Enforcement Motorcycle Clubs	Bangor	me	4401	blueknights.org	2079474600	1	1	1	1	1	1	0	1	0	4.5	7.5	1
2419095	100091	45294	11	HealthcareSource	Woburn	ma	1801	healthcaresource.com		HealthcareSource	Woburn	ma	1801	healthcaresource.com	8008695200	1	1	1	1	1	1	0	1	0	4.5	7.5	1
2546837	100096	45320	5	International Breachers Group	Southaven	ms	38671	internationalbreachersgr	9013265223	International Breachers Group	Hernando	ms	38632	internationalbreachersgroup.com	9013265223	1	1	1	1	1	1	0	0	1	4.5	7.5	1
2568948	100100	45353	10	Copperstate Fly-In	Queen Creek	az	85142	copperstate.org		Copperstate Fly-In	Mesa	az	85215	copperstate.org	6026180994	1	1	1	1	1	1	0	1	0	4.5	7.5	1
2582698	100115	45486	5	College Connection	WIlmington	ma	1887	collegeconnectionathletics.com		College Connection	WIlmington	ma	1887	collegeconnectionathletics.com	4132564258	1	1	1	1	1	1	0	1	0	4.5	7.5	1
