Source	CompanyID	Cup Org ID	Name	Address Line 1	City	State	Zip Code	Zip Code 5 Numeric	CompanyType	WebSite	MemberType	#ASAEMembers	Industry	Budget	EIN	#Staff
OrgMembers	100060718	#N/A	LAGCOE	107 Heyman Boulevard	Lafayette	LA	70503	70503	Trade Association	www.lagcoe.com	Company Member	6		U - Unknown	721002999	6
OrgMembers	100010355	#N/A	Accreditation Review Council on Education in Surgical Technology and Surgical Assisting	6 West Dry Creek Cir #210	Littleton	CO	80120	80120	Philanthropic/Non-Profit/Charitable/Foundation Org	www.arcstsa.org	Company Member	0	MED  - Medical/Medical Specialty	C - $500 thousand but less than $1 million	841296896	4
OrgMembers	628600	20827	Recreation Vehicle Industry Association	1896 Preston White Dr.	Reston	VA	20191	20191	Professional Association	www.rvia.org	Company Member	64	REC  - Recreation	F - $10 million but less than $25 million	381776441	57
OrgMembers	100053834	88068	HOSA-Future Health Professionals	"548 Silicon Drive, Suite 101"	Southlake	TX	76092	76092	Professional Association	www.hosa.org	Company Member	2		U - Unknown	510249380	6
OrgMembers	6630600	20934	Council for Responsible Nutrition	1828 L St NW #510	Washington	DC	20036-5114	20036	Trade Association	www.crnusa.org	Company Member	20	HEA  - Health Care	D - $1 million but less than $5 million	520975324	19
OrgMembers	8172600	16233	World Floor Covering Association 	855 Abutment Rd STE 1	Dalton	GA	30721	30721	Trade Association	www.wfca.org	Company Member	18	RET  - Retail	E - $5 million but less than $10 million	952321736	18
OrgMembers	100081154	#N/A	Manifest Creative	5340 Weslayan St. #273152	Houston	TX	77277	77277	AMC (Association Management Company)	www.manifest-creative.com	Company Member	5		U - Unknown		4
OrgMembers	100003267	89221	Preventive Cardiovascular Nurses Association	613 Williamson St #200	Madison	WI	53703	53703	Professional Association	www.pcna.net	Company Member	9	MED  - Medical/Medical Specialty	D - $1 million but less than $5 million	391804895	8
OrgMembers	43511400	51180	International Safe Transit Association	1400 Abbott Rd #160	East Lansing	MI	48823	48823	Trade Association	www.ista.org	Company Member	6	PAP  - Paper/Packaging Industry	D - $1 million but less than $5 million	237316359	7
OrgMembers	100014539	54058	The Electrocoat Association	PO Box 541083	Orrick	MO	64077	64077	Trade Association	www.electrocoat.org	Company Member	2	ELC  - Electronics/Elec. Distributors	B - $100 thousand but less than $500 thousand	311556281	2
OrgMembers	100080228	87786	Grantmakers in Aging	2001 Jefferson Davis Highway	Arlingon	VA	22202	22202	Trade Association	www.giaging.org	Company Member	3		U - Unknown		3
OrgMembers	100072231	68600	Plan-it Satisfaction	PO Box 90434	San Antonio	TX	78209	78209	AMC (Association Management Company)	www.planitsat.com	Company Member	1	AMC  - Association Management Companies	U - Unknown		2
OrgMembers	9037901	16831	National Sleep Foundation 	1010 N Glebe Rd	Arlington	VA	22201	22201	Philanthropic/Non-Profit/Charitable/Foundation Org	www.sleepfoundation.org	Company Member	11	HEA  - Health Care	B - $100 thousand but less than $500 thousand	411678336	11
OrgMembers	100007379	3730	Industrial Minerals Association - North America	1200 18th Street NW	Washington	DC	20036	20036	Trade Association	www.ima-na.org	Company Member	2	ENV  - Environment	C - $500 thousand but less than $1 million	43670163	4
OrgMembers	356000	50550	International Association of Assessing Officers	314 W 10th St	Kansas City	MO	64105	64105	Professional Association	www.iaao.org	Company Member	26	GOV  - Government	D - $1 million but less than $5 million	362210012	25
OrgMembers	100059349	#N/A	National Restaurant Association Convention Office	175 W Jackson Blvd. Suite 1500	Chicago	IL	60604	60604	Combined Trade & Professional Association	www.restaurant.org	Company Member	252	RST  - Restaurant	U - Unknown	361525480	150
OrgMembers	804500	62562	Association Forum	10 S Riverside Plaza #800	Chicago	IL	60606	60606	Professional Association	www.associationforum.org	Company Member	11	SAE  - Society of Assn. Executives	D - $1 million but less than $5 million	362330308	12
OrgMembers	45188500	23119	North American Society for Trenchless Technology	14500 Lorain Ave #110063	Cleveland	OH	44111	44111	Combined Trade & Professional Association	www.nastt.org	Company Member	5	UTI  - Utilities	A - Less than $100 thousand	363727335	4
OrgMembers	68000	3719	American Society of Landscape Architects	636 I St NW	Washington	DC	20001-3736	20001	Professional Association	www.asla.org	Company Member	6	PLA  - Plants/Flowers	E - $5 million but less than $10 million	530259019	45
OrgMembers	632400	51410	Retail Confectioners International 	3029 E Sunshine Street	Springfield	MO	65804	65804	Trade Association	www.retailconfectioners.org	Company Member	3	FOO - Food	C - $500 thousand but less than $1 million	360752970	3
OrgMembers	6793100	65556	EPCOR	3100 Broadway #555	Kansas City	MO	64111	64111	Trade Association	www.epcor.org	Company Member	25	FIN  - Finance	D - $1 million but less than $5 million	431046942	24
OrgMembers	7888900	#N/A	Northeast Association of REALTORS Inc	6 Lyberty Way #204	Westford	MA	1886	1886	Professional Association	www.NortheastRealtors.com	Company Member	4	REA  - Real Estate	C - $500 thousand but less than $1 million	46110749	4
OrgMembers	904600	23025	American Association of Law Libraries	105 West Adams St #3300	Chicago	IL	60603	60603	Professional Association	www.aall.org	Company Member	12	LIB  - Libraries	D - $1 million but less than $5 million	362536424	13
OrgMembers	418200	55502	Massachusetts Funeral Directors Association	536 Broad St #4	Weymouth	MA	02189-1395	2189	Trade Association	www.massfda.org	Company Member	2	FRL  - Funerals	C - $500 thousand but less than $1 million	42399297	2
OrgMembers	2348700	#N/A	Carbondale Tourism	126 South Illinois Ave	Carbondale	IL	62901-2820	62901	CVB (Visitors Bureau)	www.carbondaletourism.org	Company Member	4	CVB  - Convention and Visitors Bureaus	B - $100 thousand but less than $500 thousand	371247122	4
OrgMembers	100063059	53639	Association Of International Education Administrators	811 Ninth St.	Durham	NC	27705	27705	Professional Association	www.aieaworld.org	Company Member	4	EDU  - Education	U - Unknown	431427422	3
OrgMembers	100022457	61229	Washington Metropolitan Chapter Community Associations Institute	7600 Leesburg Pike	Falls Church	VA	22043	22043	Combined Trade & Professional Association	www.caidc.org	Company Member	6	HOU  - Housing	D - $1 million but less than $5 million	521074939	6
OrgMembers	100082329	63147	DFK International/USA	1801 California Street	Denver	CO	80202	80202	Trade Association	www.dfkusa.com	Company Member	2		U - Unknown		2
OrgMembers	47921800	#N/A	Academic Senate for California Community Colleges	"One Capitol Mall, Suite 340"	Sacramento	CA	95814-4583	95814	Trade Association	www.asccc.org	Company Member	4	EDU  - Education	D - $1 million but less than $5 million	952707667	4
OrgMembers	18261400	54185	Botanical Society of America 	4475 Castleman Ave	Saint Louis	MO	63110-3201	63110	Professional Association	www.botany.org	Company Member	10	BIO  - Biology	B - $100 thousand but less than $500 thousand	620671591	9
OrgMembers	9998600	13841	American Physiological Society	"6120 Executive Boulevard, Suite 600"	Rockville	MD	20852	20852	Professional Association	www.the-aps.org	Company Member	37	MED  - Medical/Medical Specialty	F - $10 million but less than $25 million	530204660	70
OrgMembers	117200	28233	National Association of Landscape Professionals	12500 Fair Lakes Circle	Fairfax	VA	22033	22033	Trade Association	www.landscapeprofessionals.org	Company Member	27	CNT  - Construction/Contractors	E - $5 million but less than $10 million	941543185	26
OrgMembers	100039308	68568	Association Central Inc.	3085 Stevenson Dr #200	Springfield	IL	62703	62703	AMC (Association Management Company)	www.associationcentral.org	Company Member	9	AMC  - Association Management Companies	U - Unknown		9
OrgMembers	8239800	22689	National Association of Clean Water Agencies	1816 Jefferson Pl NW	Washington	DC	20036-2505	20036	Trade Association	www.nacwa.org	Company Member	23	ENV  - Environment	D - $1 million but less than $5 million	237088488	25
OrgMembers	21900	21063	American Academy of PAs	2318 Mill Road	Alexandria	VA	22314	22314	Professional Association	www.aapa.org	Company Member	91	MED  - Medical/Medical Specialty	F - $10 million but less than $25 million	237067770	89
OrgMembers	100058455	54321	National Federation of Advanced Information Services	801 Compass Way Suite 201	Annapolis	MD	21401	21401	Federation of Associations	www.nfais.org	Company Member	2	INF  - Information Management	B - $100 thousand but less than $500 thousand	530244622	2
OrgMembers	100015009	68095	Ironworker Management Progressive Action Cooperative Trust	1750 New York Ave NW	Washington	DC	20006	20006	Trade Association	www.impact-net.org	Company Member	14	MAN  - Management	F - $10 million but less than $25 million	753054646	15
OrgMembers	100007605	50542	International Association for Healthcare Security and Safety	"8420 W, Bryn Mawr"	Chicago	IL	60631	60631	Combined Trade & Professional Association	www.iahss.org	Company Member	5	SAF  - Safety	C - $500 thousand but less than $1 million	362655046	5
OrgMembers	467400	#N/A	Greater Kalamazoo Association of Realtors	5830 Venture Park Dr 	Kalamazoo	MI	49009	49009	Professional Association	www.gkar.com	Company Member	6	REA  - Real Estate	D - $1 million but less than $5 million		6
OrgMembers	100057740	63775	Alternative & Direct Investment Securities Association (ADISA)	Two Meridian Plaza	Indianapolis	IN	46290	46290	Trade Association	www.adisa.org	Company Member	5	FINA - Financial/Investment/Retirement Services	U - Unknown		6
OrgMembers	6844800	21568	American Institute of Ultrasound in Medicine	"14750 Sweitzer Lane, Suite 100"	Laurel	MD	20707	20707	Professional Association	www.aium.org	Company Member	27	MED  - Medical/Medical Specialty	E - $5 million but less than $10 million	237148063	25
OrgMembers	149201	#N/A	Community Associations Institute PA & Delaware Valley Chapter	601 S. Henderson Road	King of Prussia	PA	19406	19406	Combined Trade & Professional Association	www.cai-padelval.org	Company Member	3	HOU  - Housing	B - $100 thousand but less than $500 thousand	231974275	4
OrgMembers	100013563	63833	International Society for Medical Publication Professionals	520 White Plains Road	Tarrytown	NY	10591	10591	Professional Association	www.ismpp.org	Company Member	7	MED  - Medical/Medical Specialty	O - No Response	202451306	7
OrgMembers	20700	22973	American Academy of Dermatology	9500 W. Bryn Mawr Avenue	Rosemont	IL	60018	60018	Professional Association	www.aad.org	Company Member	165	MED  - Medical/Medical Specialty	G - $25 million but less than $50 million	410793046	173
OrgMembers	9934600	54097	American Association of Anatomists 	9650 Rockville Pk	Bethesda	MD	20814	20814	Professional Association	www.anatomy.org	Company Member	5	SCI  - Science and Humanities	D - $1 million but less than $5 million	236239047	5
OrgMembers	100072183	10856	Congress of Chiropractic State Associations	699 June Dr.	Molalla	OR	97038	97038	AMC (Association Management Company)	www.cocsa.org	Company Member	2	HEA  - Health Care	U - Unknown		1
OrgMembers	18065100	52697	International Premium Cigar & Pipe Retailers Association	513 Captiol Court NE	Washington	DC	20002	20002	Trade Association	www.rtda.org	Company Member	7	RET  - Retail	D - $1 million but less than $5 million	135342320	6
OrgMembers	100039147	#N/A	"Elwood Consulting, LLC"	919 East Main St #1150	Richmond	VA	23219	23219	AMC (Association Management Company)	www.elwood-consulting.com	Company Member	1	AMC  - Association Management Companies	U - Unknown		2
OrgMembers	43300	20726	American Health Care Association 	1201 L St NW	Washington	DC	20005-4024	20005	Trade Association	www.ahca.org	Company Member	29	HEA  - Health Care	G - $25 million but less than $50 million	530260105	88
OrgMembers	2345000	22514	American Land Title Association	1800 M St NW #300S	Washington	DC	20036-5828	20036	Trade Association	www.alta.org	Company Member	26	REA  - Real Estate	E - $5 million but less than $10 million	530259366	26
OrgMembers	6612300	15838	American College of Healthcare Executives	300 S. Riverside Plaza Suite 1900	Chicago	IL	60606-6698	60606	Professional Association	www.ache.org	Company Member	65	HEA  - Health Care	F - $10 million but less than $25 million	363208430	98
OrgMembers	8195800	60772	Home Builders Association of Iowa	400 East Court Avenue	Des Moines	IA	50309	50309	Professional Association	www.hbaiowa.org	Company Member	4	HOU  - Housing	B - $100 thousand but less than $500 thousand	421017955	4
OrgMembers	3007400	20998	American Network of Community Options and Resources	1101 King St #380	Alexandria	VA	22314-2944	22314	Trade Association	www.ancor.org	Company Member	14	SOC  - Social Service	D - $1 million but less than $5 million	520846389	14
OrgMembers	6347300	22982	Specialty Equipment Market Association	1575 South Valley Vista Dr	Diamond Bar	CA	91765	91765	Trade Association	www.sema.org	Company Member	32	MAT  - Materials	F - $10 million but less than $25 million	952544340	150
OrgMembers	45552400	61617	Partners in Association Management 	325 John Knox Rd #L103	Tallahassee	FL	32303	32303	AMC (Association Management Company)	www.yoursearchisdone.com	Company Member	27	AMC  - Association Management Companies	D - $1 million but less than $5 million		28
OrgMembers	7903700	53020	Women's Basketball Coaches Association	4646 Lawrenceville Highway	Lilburn	GA	30047	30047	Professional Association	www.wbca.org	Company Member	12	SPO  - Sports	D - $1 million but less than $5 million	232187133	9
OrgMembers	1865800	49542	American Cleft Palate-Craniofacial Association	1504 East Franklin St #102	Chapel Hill	NC	27514	27514	Professional Association	www.acpa-cpf.org	Company Member	5	MED  - Medical/Medical Specialty	C - $500 thousand but less than $1 million	430793521	6
OrgMembers	520400	3777	National Parking Association 	1112 16th St NW	Washington	DC	20036	20036	Combined Trade & Professional Association	www.npapark.org	Company Member	7	OTH  - Other	D - $1 million but less than $5 million	530215136	6
OrgMembers	100060857	#N/A	"Members, Inc."	3611 Union Church Rd	Salisbury	MD	21804	21804	AMC (Association Management Company)	www.membersinc.com	Company Member	3	AMC  - Association Management Companies	U - Unknown		2
OrgMembers	1709100	50900	National Association of Legal Assistants Inc	"7666 East 61st Street, suite 315"	Tulsa	OK	74133	74133	Combined Trade & Professional Association	www.nala.org	Company Member	12	LEG  - Legal/Law Enforcement	C - $500 thousand but less than $1 million	730977884	12
OrgMembers	100056420	#N/A	Inforum	400 Renaissance Center	Detroit	MI	48243	48243	Professional Association		Company Member	1		U - Unknown		0
OrgMembers	874500	55003	Association of Washington Business 	1414 Cherry St SE	Olympia	WA	98507-0658	98507	Trade Association		Company Member	4	BUS  - Business	D - $1 million but less than $5 million	910496803	29
OrgMembers	477900	50870	International Association of Exhibitions and Events	12700 Park Central Dr #308	Dallas	TX	75251-1313	75251	Combined Trade & Professional Association	www.iaee.com	Company Member	27	HOS  - Hospitality	E - $5 million but less than $10 million	752597310	27
OrgMembers	100071837	28703	Association of University Research Parks (AURP)	6262 North Swan Road	Tucson	AZ	85718	85718	Professional Association	www.AURP.net	Company Member	2		U - Unknown		2
OrgMembers	2620400	50573	International Association for Food Protection	6200 Aurora Ave #200W	Des Moines	IA	50322-2864	50322	Combined Trade & Professional Association	www.foodprotection.org	Company Member	11	FOO - Food	D - $1 million but less than $5 million	350894354	12
OrgMembers	337600	20849	International Liquid Terminals Association	1005 North Glebe Rd #600	Arlington	VA	22201	22201	Trade Association	www.ilta.org	Company Member	5	STO  - Storage	D - $1 million but less than $5 million	521038765	5
OrgMembers	100080758	#N/A	Beacon Association Management	PO Box 80994	Charleston	SC	29416	29416	AMC (Association Management Company)		Company Member	1		U - Unknown		1
OrgMembers	146100	61033	Construction Suppliers' Association	"120 Handley Rd, Ste 610"	Tyrone	GA	30290	30290	Trade Association	www.gocsa.com	Company Member	5	CNT  - Construction/Contractors	D - $1 million but less than $5 million		5
OrgMembers	100020586	64462	Association of Strategic Alliance Professionals	960 Turnpike St Ste 3-A	Canton	MA	02021-2818	2021	Combined Trade & Professional Association	www.strategic-alliances.org	Company Member	6	BUS  - Business	B - $100 thousand but less than $500 thousand	43436443	7
OrgMembers	10298300	54976	Arizona Nurses Association 	1850 East Southern Ave #1	Tempe	AZ	85282-5832	85282	Professional Association	www.aznurse.org	Company Member	4	NUR  - Nursing	B - $100 thousand but less than $500 thousand	860003918	4
OrgMembers	100052999	49844	American Society of Regional Anesthesia and Pain Medicine	Four Penn Center West	Pittsburgh	PA	15276	15276	Professional Association	www.asra.com	Company Member	8		U - Unknown	510163222	5
OrgMembers	571400	55802	Ohio Pharmacists Association 	2674 Federated Blvd.	Columbus	OH	43235	43235	Professional Association	www.ohiopharmacists.org	Company Member	7	PHR  - Pharmacy/Pharmaceutical	C - $500 thousand but less than $1 million	314271660	6
OrgMembers	100056927	#N/A	IL Association of Groundwater Prof	PO Box 210	Stockton	IL	61028	61028	Trade Association	www.iagp.org	Company Member	1		U - Unknown	376031104	2
OrgMembers	12479400	57225	Pennsylvania Osteopathic Medical Association	1330 Eisenhower Blvd	Harrisburg	PA	17111-2319	17111	Professional Association	www.poma.org	Company Member	6	MED  - Medical/Medical Specialty	B - $100 thousand but less than $500 thousand	230959504	7
OrgMembers	6580400	56176	Texas Society of Association Executives	8200 North Mopac Expwy #185	Austin	TX	78759-8866	78759	Professional Association	www.tsae.org	Company Member	6	SAE  - Society of Assn. Executives	D - $1 million but less than $5 million	746046875	6
OrgMembers	100067536	#N/A	National Higher Education Benchmarking Institute	12345 College Blvd.	Overland Park	KS	66210	66210	Combined Trade & Professional Association	www.benchmarkinginstitute.org	Company Member	3	EDU  - Education	U - Unknown		3
OrgMembers	100010382	#N/A	American Osteopathic Foundation	"142 East Ontario Street, Suite 1450"	Chicago	IL	60611	60611	Philanthropic/Non-Profit/Charitable/Foundation Org	www.aof.org	Company Member	3	HEA  - Health Care	D - $1 million but less than $5 million	366056120	5
OrgMembers	9383600	#N/A	Mid-Michigan Mechanical Contractors Association	901 S Cedar St #200	Mason	MI	48854-2083	48854	Trade Association	www.mid-michiganmca.org	Company Member	2	CNT  - Construction/Contractors	B - $100 thousand but less than $500 thousand	386071628	2
OrgMembers	17345700	59139	Washington Association of Criminal Defense Lawyers	1511 Third Ave #503	Seattle	WA	98101	98101	Professional Association	www.wacdl.org	Company Member	3	BAR  - Bar Association	B - $100 thousand but less than $500 thousand	911354688	3
